word,category,freq_high,freq_low,lift,raw_lift,doc_high,doc_low
person,harassment,0.081967,0.026287,3.1022,3.1022,5,195
follow,harassment,0.065574,0.030736,2.1241,2.1241,4,228
perspective,harassment,0.065574,0.042195,1.5491,1.5491,4,313
transgender,hate_combined,0.064103,0.000974,50.0,58.4758,5,8
slurs,hate_combined,0.051282,0.002923,16.841,16.841,4,24
discriminatory,hate_combined,0.051282,0.003898,12.7584,12.7584,4,32
stereotypes,hate_combined,0.166667,0.015834,10.4453,10.4453,13,130
discrimination,hate_combined,0.076923,0.007552,10.0244,10.0244,6,62
gender,hate_combined,0.051282,0.010597,4.7844,4.7844,4,87
religious,hate_combined,0.038462,0.008039,4.713,4.713,3,66
cope,self_harm_combined,0.1,0.001541,50.0,60.2571,3,13
pain,self_harm_combined,0.1,0.004149,23.4333,23.4333,3,35
self,self_harm_combined,0.333333,0.018255,18.1419,18.1419,10,154
emotional,self_harm_combined,0.166667,0.013751,12.0171,12.0171,5,116
harm,self_harm_combined,0.266667,0.028924,9.182,9.182,8,244
emotions,self_harm_combined,0.133333,0.015766,8.394,8.394,4,133
body,self_harm_combined,0.1,0.012921,7.6691,7.6691,3,109
methods,self_harm_combined,0.166667,0.027975,5.9325,5.9325,5,236
harmful,self_harm_combined,0.1,0.046942,2.1249,2.1249,3,396
want,self_harm_combined,0.2,0.130749,1.5283,1.5283,6,1103
lewd,sexual,0.142857,0.001349,50.0,97.1071,11,11
sexually,sexual,0.051948,0.001103,42.374,42.374,4,9
sexual,sexual,0.285714,0.008827,31.9256,31.9256,22,72
intimate,sexual,0.168831,0.005639,29.3012,29.3012,13,46
body,sexual,0.181818,0.01042,17.2452,17.2452,14,85
nsfw,sexual,0.038961,0.002207,16.7266,16.7266,3,18
explicit,sexual,0.246753,0.016673,14.6917,14.6917,19,136
desire,sexual,0.038961,0.003678,10.2518,10.2518,3,30
consensual,sexual,0.038961,0.0038,9.9314,9.9314,3,31
adult,sexual,0.064935,0.008214,7.7893,7.7893,5,67
erotic,sexual,0.038961,0.006988,5.4794,5.4794,3,57
master,sexual,0.038961,0.008459,4.5401,4.5401,3,69
interactions,sexual,0.038961,0.011156,3.4544,3.4544,3,91
consent,sexual,0.077922,0.024519,3.1622,3.1622,6,200
internet,sexual,0.038961,0.012259,3.1466,3.1466,3,100
around,sexual,0.051948,0.027461,1.8833,1.8833,4,224
minors,sexual_minors,0.09434,0.000836,50.0,98.7618,5,7
minor,sexual_minors,0.169811,0.002388,50.0,67.7224,9,20
underage,sexual_minors,0.056604,0.001433,36.4659,36.4659,3,12
teenager,sexual_minors,0.056604,0.002866,18.9623,18.9623,3,24
forbidden,sexual_minors,0.075472,0.004179,17.5577,17.5577,4,35
explores,sexual_minors,0.150943,0.012418,12.0395,12.0395,8,104
inappropriate,sexual_minors,0.113208,0.009672,11.5624,11.5624,6,81
explicit,sexual_minors,0.169811,0.020776,8.1267,8.1267,9,174
young,sexual_minors,0.075472,0.016358,4.5803,4.5803,4,137
under,sexual_minors,0.113208,0.027224,4.1402,4.1402,6,228
explore,sexual_minors,0.113208,0.058269,1.9389,1.9389,6,488
exploring,sexual_minors,0.056604,0.029851,1.8887,1.8887,3,250
illegal,sexual_minors,0.056604,0.032716,1.7238,1.7238,3,274
injuries,violence,0.072727,0.000993,50.0,65.0909,4,8
violent,violence,0.181818,0.002731,50.0,63.6759,10,22
violence,violence,0.054545,0.004966,10.7162,10.7162,3,40
explicit,violence,0.054545,0.020857,2.5998,2.5998,3,168
brutal,violence_graphic,0.125,0.000831,50.0,131.5781,3,7
graphic,violence_graphic,0.166667,0.004038,40.1,40.1,4,34
description,violence_graphic,0.166667,0.015794,10.4739,10.4739,4,133
describe,violence_graphic,0.416667,0.069232,6.0081,6.0081,10,583
