technique,label,frequency,mean_harm,pagerank,pagerank_harm,betweenness,weighted_degree,community_id
T01,Roleplay/Persona,4415,0.1558,0.200201,0.20895,0.0,2.7997,3
T04,Creative Writing,2247,0.2146,0.156261,0.188045,0.0,2.1393,3
T07,Authority Override,857,0.1522,0.13983,0.141313,0.0,1.8732,3
T02,Hypothetical,1170,0.1223,0.119586,0.11511,0.0,1.5594,2
T12,Direct/Unframed,692,0.0607,0.097684,0.078963,0.0,1.2788,3
T03,Academic,706,0.1115,0.092536,0.084651,0.072727,1.1363,2
T11,Prompt Chaining,620,0.1061,0.086854,0.078485,0.0,1.0496,2
T08,Emotional Manip.,369,0.1036,0.037279,0.034714,0.327273,0.3043,2
T05,Encoding,66,0.0731,0.017442,0.017442,0.0,0.0,4
T06,Translation,72,0.1105,0.017442,0.017442,0.0,0.0,5
T10,Technical/Code,107,0.0283,0.017442,0.017442,0.0,0.0,1
T09,Multi-turn,33,0.127,0.017442,0.017442,0.0,0.0,0
